Número na Processada	Nome do Museu	Natureza Administrativa	Instituição mantenedora	Endereço Visitação	Número Visitação	Complemento Visitação	Bairro Visitação	CEP Visitação	Município Visitação	UF Visitação	Longitude	Latitude	Endereço Correspondência	Número Correspondência	Complemento Correspondência	Caixa Postal	Bairro Correspondência	CEP Correspondência	Município Correspondência	UF Correspondência	Telefone	E-mail	Site	Antropologia e Etnografia	Arqueologia	Arquivístico	Artes Visuais	Ciências Naturais e História Natural	Ciência e Tecnologia	História	Imagem e Som	Virtual	Outros	2.3 -  Em relação à temática do museu, classifique a instituição em APENAS UMA   opção:	Ano de Abertura	Situação de funcionamento	Segunda_feira	Terça-feira	Quarta-feira	Quinta-feira	Sexta-feira	Sábado	Domingo	O ingresso ao Museu é cobrado?	Valor	[Bebedouro] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Estacionamento  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Guarda-volumes  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Livraria] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Loja] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Restaurante e/ou lanchonete] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Sanitário] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Teatro/Auditório ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	3.5.1 - Capacidade do teatro/auditório (assentos):	O Museu promove visitas guiadas?	O Museu possui infraestrutura para recebimento de turistas estrangeiros?	3.6.1 - O museu dispõe de sinalização visual em outro(s) idioma(s)?	3.6.2 - O museu oferece material de divulgação impresso em outros idiomas?	3.6.3 - O museu oferece audioguia em outros idiomas?	3.6.4 - O museu dispõe de guia/monitor/mediador que fala outro idioma?	3.7 - O museu possui infraestrutura para atender visitantes que apresentam dificuldade de locomoção?	[Bebedouro adaptado] 3.7.1 - Especifique:	[Cadeira de rodas para uso do visitante] 3.7.1 - Especifique:	[Circuito de visitação adaptado] 3.7.1 - Especifique:	[Corrimãos nas escadas e nas rampas] 3.7.1 - Especifique:	Elevadores com cabine e portas de entrada acessíveis para pessoa portadora de deficiência ou com mobilidade reduzida	Rampa de acesso	sanitários adaptados com equipamentos e acessórios próprios	[Telefone público adaptado] 3.7.1 - Especifique:	Vagas exclusivas em estacionamento	[Vaga de estacionamento exclusiva para idosos] 3.7.1 - Especifique:	3.8 - O museu oferece instalações e serviços destinados às pessoas com deficiências auditivas e visuais?	[Guia multimídia (audioguia com monitor)] 3.8.1 - Especifique:	[Maquetes táteis ou mapas em relevo do museu] 3.8.1 - Especifique:	[Obras e reproduções táteis] 3.8.1 - Especifique:	[Piso tátil] 3.8.1 - Especifique:	sinalização em braile	[Tradutor de Linguagem Brasileira de Sinais (LIBRAS)] 3.8.1 - Especifique:	textos/etiquetas em braile com informações sobre os objetos em exposição	O Museu possui arquivo histórico?	O arquivo tem acesso ao público?	O Museu possui biblioteca?	A biblioteca tem acesso ao público?	1.3 -  CNPJ:	2.2  -  Em relação à sua atividade principal, indique a opção que melhor caracterize a instituição:	2.2.1 -  A instituição possui acervo:	2.5 - O museu é de caráter comunitário?	2.5.1 - A comunidade realiza atividades museológicas (inventário participativo, museografia...)?	2.6 - O Museu é:	2.7 - Com relação ao acervo, indique a opção que melhor caracterize a instituição:	2.7.1 -  O comodato/empréstimo está formalizado por meio de documento legal?	2.7.2 - Especifique, em meses , a duração do comodato/empréstimo (havendo mais de um contrato especificar o de maior duração):	2.8 - Com relação às exposições, indique a opção que melhor caracterize a instituição:	2.9 - O museu é itinerante?	2.9.1 -  O museu depende de recursos financeiros de outra instituição para a itinerância da exposição?	2.10 -  O museu possui também acervo material?	2.10.1 - Esse acervo encontra-se em exposição presencial?	[O museu NÃO possui acervo em exposições em núcleo edificado] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[A exposição do museu está no próprio território] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo(s) edificado(s) com acervo em exposição] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo edificado apenas como sede técnico administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O Museu NÃO possui núcleo edificado e NÃO possui sede técnico-administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O acervo do museu é composto de núcleos edificados] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	2.12 -  Identifique o tipo/categoria de manejo da Unidade de Conservação:	2.12.1 - Especifique:	2.12.2 - Especifique:	3.3 - O museu é aberto ao púbico em geral ou somente para públicos específicos?	4.1 - O museu possui instrumento de criação?	4.1.1 - Especifique instrumento de criação:	Nº e data da Lei:	Nº e data do Decreto-Lei:	Nº e data da Decreto:	Nº e data da Portaria:	Nº e data da Resolução:	Nº e data do Ata de Reunião:	Natureza do documento, número e data:	4.2 - O museu possui regimento interno?	4.3 -  O museu possui plano museológico?	6.6 - O museu possui política de aquisição de acervo?	6.7 - O museu possui política de descarte de acervo?
9.36.30.6488	Museu Histórico e Antropológico da Região do Contestado	Pública Municipal  	-	Rua Getúlio Vargas	100	Edifício Achilles Stenghel	Centro	89500-000	Caçador	SC	-51.016728	-26.773563	Rua Getúlio Vargas	100	Edifício Achilles Stenghel	    	Centro	89500-000	Caçador	SC	(49) 3567-1582	museu@museudocontestado.com.br; museudocontestado@hotmail.com	http://museudocontestado.com.br/	NULL	NULL	NULL	NULL	NULL	NULL	6	NULL	NULL	NULL	História	1974	Aberto	Mediante agendamento	08:30 - 12:00 / 13:30 - 18:00	08:30 - 12:00 / 13:30 - 18:00	08:30 - 12:00 / 13:30 - 18:00	08:30 - 12:00 / 13:30 - 18:00	14:00 - 18:00	14:00 - 18:00	N	Contribuição Voluntária	Sim	Sim	Não	Não	Sim	Não	Sim	Sim	50	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	S	N	08.812.688/0001-16	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Portaria	N/A	N/A	N/A	01/74	N/A	N/A	N/A	Não	Não	Não	Não
9.36.50.1960	Museu Municipal Gecy Fonseca	Pública Municipal  	-	Praça Basílio de Araújo Filho	s/n	    	Centro	86130-000	Bela Vista do Paraíso	PR	-51.188461	-22.99351	Praça Basílio de Araújo Filho	s/n	    	    	Centro	86130-000	Bela Vista do Paraíso	PR	(43) 3242-1531 / (43) 3242-1756 (Divisão de Cultura)	divisaoculturabvp@yahoo.com.br	  -  	NULL	2	NULL	NULL	NULL	5	6	7	NULL	NULL	-	2005	Aberto	08:00 - 11:00 / 13:00 - 17:00	08:00 - 11:00 / 13:00 - 17:00	08:00 - 11:00 / 13:00 - 17:00	08:00 - 11:00 / 13:00 - 17:00	08:00 - 11:00 / 13:00 - 17:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	S	S	-	S	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.36.52.2288	Centro Municipal de Memória	Pública Municipal  	-	Rua Expedicionário Léllis	1500	 Praça Mané Gaiola	Centro	14160-750	Sertãozinho	SP	-47.986702	-21.138292	Rua Expedicionário Léllis	1500	Praça Mané Gaiola	    	Centro	14160-750	Sertãozinho	SP	(16) 3945-9363	cemm@sertaozinho@sp.gov.br	https://www.facebook.com/pages/Centro-Municipal-de-Mem%C3%B3ria-de-Sert%C3%A3ozinho-CEMM/736842786369441?fref=ts  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	História	1996	Fechado	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	Não abre	Não abre	N	 	Sim	Sim	Não	Não	Não	Não	Sim	Não	N/A	S	N	N/A	N/A	N/A	N/A	Sim	Não	Não	Não	Sim	N	S	N	Não	S	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	N	N	45.371.820/0001-28	Museu	N/A	Não	N/A	Tradicional/Clássico	Acervo compartilhado entre órgãos/setores da mesma entidade mantenedora	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Sim	Sim	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Lei	4448, 12 setembro 2006	N/A	N/A	N/A	N/A	N/A	N/A	Não	Sim	Sim	Sim
9.36.74.3610	Museu da Gente Sergipana Governador Marcelo Déda	Privada  	-	Avenida Ivo do Prado	398	-	Centro	49010-050	Aracaju	SE	-	-	Avenida Ivo do Prado	398	-	    	Centro	49010-050	Aracaju	SE	(79) 3218-1551	instituto.gerentes@banese.com.br	museudagentesergipana.com.br; facebook.com/museudagente; youtube.com/institutobanese	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Antropologia e Arqueologia	2011	Aberto	Não abre	10:00 - 16:00	10:00 - 16:00	10:00 - 16:00	10:00 - 16:00	10:00 - 15:00	10:00 - 15:00	N	-	Sim	Sim	Sim	Não	Sim	Sim	Sim	Sim	100	S	S	Sim	Sim	Não	Sim	Sim	Não	Sim	Não	Sim	S	S	S	Não	S	Sim	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	S	S	10.645.538/0001-07	Museu	N/A	Não	N/A	Museu de Território/Ecomuseu	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Sim	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Ata de Reunião	N/A	N/A	N/A	N/A	N/A	S/N 21 DE JUNHO DE 2011	N/A	Não	Não	Sim	Não
9.36.96.4856	Casa da Memória de Guaranésia	Pública Municipal  	-	Praça Rui Barbosa	40	    	Centro	37810-000	Guaranésia	MG	-46.7968	-21.3014	Praça Rui Barbosa	40	    	    	Centro	37810-000	Guaranésia	MG	(35) 3555-3761 / (35) 3555-3556	dctguaranesia@hotmail.com	  -  	NULL	NULL	NULL	3	NULL	NULL	6	7	NULL	NULL	-	2001	Aberto	08:00 - 17:30	08:00 - 17:30	08:00 - 17:30	08:00 - 17:30	08:00 - 17:30	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.37.23.1592	Museu de Ponta Grossa	Privada  	-	Ponta Grossa	s/n	casa	Praia de Ponta Grossa	62810-000	Icapuí	CE	-	-	Ponta Grossa	s/n	Casa	    	Praia de Ponta Grossa	62810-000	Icapuí	CE	(88) 9265-8330 / (88) 3432-1021	  -  	facebook.com/josue.crispim	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Antropologia e Arqueologia	1990	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	-	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	N/A	N/A	N/A	N/A	N/A	N	N/A	N	N	N	N	N		Museu	N/A	Sim	Não	Unidade de Conservação da Natureza (Parque, Reserva, Floresta, etc.)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	Proteção Integral	Monumento Natural	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9.37.95.5206	Museu Folclórico	Pública Estadual  	-	Rua Ângelo de Quadros	1057	    	São José	39401-351	Montes Claros	MG	-43.85822	-16.728638	Rua Ângelo de Quadros	1057	    	    	São José	39401-351	Montes Claros	MG	(38) 3229-8595 / (38) 3229-8212 (Biblioteca) / (38) 3229-8210 / (38) 3229-8211	museu@unimontes.br	www.unimontes.br	1	NULL	NULL	3	NULL	NULL	6	7	NULL	NULL	-	1993	Aberto	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	S	S	S	-	S	-	-	-	-	-	-	S	-	S	S	S	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.38.29.2626	Museu Histórico de Getulina	Pública Municipal  	-	Prava Nove de Julho	150 C	-	Centro	16450-000	Getulina	SP	-49.929705	-21.798926	Prava Nove de Julho	150 C	-	    	Centro	16450-000	Getulina	SP	(14) 3552-2040 / (14) 3552-9222	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Fechado	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.38.57.7670	Museu Fotográfico de Cassilândia	Pública Municipal  	-	Rua Domingos de Souza França	720	    	Centro	79540-000	Cassilândia	MS	-51.731789	-19.118322	Rua Domingos de Souza França	720	    	    	Centro	79540-000	Cassilândia	MS	(67) 3596-1301	trr_valediesiel@ibest.com.br	www.cassilandia.ms.gov.br	NULL	NULL	NULL	NULL	NULL	5	NULL	7	NULL	NULL	-	2001	Aberto	07:00 - 13:00	07:00 - 13:00	07:00 - 13:00	07:00 - 13:00	07:00 - 13:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.38.92.1605	Fundação Casa Grande - Memorial do Homem Kariri	Privada  	-	Avenida Geremias Pereira	444	    	Centro	63165-000	Nova Olinda	CE	-39.671642	-7.084547	Avenida Geremias Pereira	444	    	    	Centro	63165-000	Nova Olinda	CE	(88) 3521-8133 / (88) 3546-1333 	fundacaocasagrande@veloxmail.com.br	www.fundacaocasagrande.org.br	1	2	NULL	NULL	NULL	NULL	6	7	NULL	NULL	-	1992	Aberto	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	N	0	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.39.22.7710	Museu Nacional do Calçado	Privada  	-	Avenida Doutor Maurício Cardoso	510	    	Hamburgo Velho	93510-250	Novo Hamburgo	RS	-51.114083	-29.677928	Avenida Doutor Maurício Cardoso	510	    	    	Hamburgo Velho	93510-250	Novo Hamburgo	RS	(51) 3586-8800 / (51) 3584-7101 (Museu)	mnc@feevale.br	www.mncalcado.br	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1999	Aberto	14:00 - 18:00 / 19:00 - 22:00	14:00 - 18:00 / 19:00 - 22:00	14:00 - 18:00 / 19:00 - 22:00	14:00 - 18:00 / 19:00 - 22:00	14:00 - 18:00 / 19:00 - 22:00	08:30 - 12:00	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	S	S	S	-	S	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.39.52.3477	Museu Anhanguera e Casarão Monsenhor Paulo Florêncio da Silveira Camargo	Pública Municipal  	-	Largo da Matriz	9	19 e 25	Centro Histórico	06501-005	Santana de Parnaíba	SP	-	-	Largo da Matriz	49	-	-	Centro Histórico	06501-005	Santana de Parnaíba	SP	(11) 4154-2700 / (11) 4154-1874 / (11) 4622-7500	turismo.parnaíba@hotmail.com	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	História	1960	Aberto	Não abre	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	11:00 - 17:00	11:00 - 17:00	N	-	Sim	Não	Sim	Não	Não	Não	Não	Não	N/A	S	N	N/A	N/A	N/A	N/A	Sim	Não	Não	Sim	Sim	S	S	N	Não	N	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	N	N	46.522.983/0001-27	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui SOMENTE exposição de longa duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Não	Não
9.39.57.5668	Associação da Imagem e do Som de Porto Alegre	Pública Municipal  	-	Avenida Osvaldo Aranha	s/n	Auditório Araújo Viana	  -  	90035-190	Porto Alegre	RS	-51.222359	-30.031835	Avenida Osvaldo Aranha	s/n	Auditório Araújo Viana	    	    	90035-190	Porto Alegre	RS	(51) 3311-5156	cm@smc.prefpoa.com.br	www.portoalegre.gov.br/cultura	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	14:00 - 18:00	14:00 - 18:00	14:00 - 18:00	14:00 - 18:00	14:00 - 18:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.39.68.0660	Sala de Memória de Chapada dos Guimarães	Não informada  	-	Rua Santo Antônio	 s/n	    	Centro	78195-000	Chapada dos Guimarães	MT	-55.750355	-15.464772	Rua Santo Antônio	 s/n	    	    	Centro	78195-000	Chapada dos Guimarães	MT	  -  	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	09:00 - 16:30	Não abre	09:00 - 16:30	09:00 - 16:30	09:00 - 16:30	09:00 - 16:30	09:00 - 16:30	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.39.99.3582	Museu Geográfico Henrique Uebel	Pública Municipal  	-	Avenida 01 Oeste	878	    	Centro Administrativo	95890-000	Teutônia	RS	-51.804896	-29.448699	Avenida 01 Oeste	878	    	    	Centro Administrativo	95890-000	Teutônia	RS	(51) 3762-1022 (Ramal 188)	cultura@teutonia.com.br	www.teutonia.com.br	NULL	2	NULL	NULL	NULL	NULL	6	7	NULL	NULL	-	1993	Aberto	Não abre	07:15 - 11:30 / 13:15 - 17:30	07:15 - 11:30 / 13:15 - 17:30	07:15 - 11:30 / 13:15 - 17:30	07:15 - 11:30 / 13:15 - 17:30	14:00 - 16:00	14:00 - 16:00	N	0	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.40.11.2693	Museu da Revolução de 32	Outra  	-	Estrada do Quilombo	1403	Pousada do Quilombo	Quilombo	12490-000	São Bento do Sapucaí	SP	-45.72715	-22.680361	Estrada do Quilombo	1403	Pousada do Quilombo	    	Quilombo	12490-000	São Bento do Sapucaí	SP	(12) 3971-2686 / (12) 3971-2688	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.40.23.5730	Museu Antares de Ciência e Tecnologia	Pública Estadual  	-	Rua da Barra	925	próximo ao hospital da mulher	Jardim Cruzeiro	44024-432	Feira de Santana	BA	-38.979383	-12.239604	Rua da Barra	925	Próximo ao Hospital da Mulher	    	Jardim Cruzeiro	44024-432	Feira de Santana	BA	(72) 3624-1921 / (72) 3161-8000	museuantares@gmail.com	www.uefs.br/antares	NULL	NULL	NULL	NULL	4	5	NULL	NULL	NULL	NULL	Ciências Exatas, da Terra, Biológicas e da Saúde	2009	Aberto	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	Não abre	Não abre	S	R$ 2,50- grupos de instituições privadas. Demais entrada gratuita.  Política de redução de valor para Idosos e estudantes da rede pública.	Sim	Sim	Não	Não	Não	Não	Sim	Sim	60	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	N	N	140.455.46/0001-73	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Outro	N/A	N/A	N/A	N/A	N/A	N/A	ata de criação outubro de 2011	Sim	Sim	Sim	Não
9.40.34.7890	Parque Estadual de Nova Baden	Pública Estadual  	-	Estrada Principal do Bairro Nova Baden	s/n	-	Nova Baden	37480-000	Lambari	MG	-	-	Rua Doutor Wadih Bacha 	35	-	1011	Centro	37480-971	Lambari	MG	  -  	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	07:00 - 17:00	07:00 - 17:00	07:00 - 17:00	07:00 - 17:00	07:00 - 17:00	07:00 - 17:00	07:00 - 17:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.40.62.0406	Museu Lavras de Ouro	Outra  	-	Estrada das Pedreiras, 2km 	s/n	    	  -  	72980-000	Pirenópolis	GO	-48.95888	-15.851146	Rua Aurora	49	-	-	 	72980-000	Pirenópolis	GO	(62) 8134-4313	museuaoarlivre@gmail.com	www.atur.com.br	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.40.90.5413	Museu de Ciências do Colégio Americano	Privada  	-	Rua Doutor Lauro de Oliveira	71	    	  -  	90420-210	Porto Alegre	RS	-51.20054	-30.036016	Rua Doutor Lauro de Oliveira	71	    	    	    	90420-210	Porto Alegre	RS	(51) 3316-1198	museuhistorico@metodistadosul.edu.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1931	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.40.94.2690	Centro de Biologia Marinha	Pública Estadual  	-	Rodovia Manoel Hipólito do Rego - km 131,5	s/n	 	Praia do Cabelo Gordo	11600-000	São Sebastião	SP	-45.398289	-23.787327	Rodovia Manoel Hipólito do Rego km 131,5	s/n	 	    	Praia do Cabelo Gordo	11600-000	São Sebastião	SP	(12) 3862-8400	academicacbm@usp.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	  -  	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.42.01.6026	Museu Municipal Victorino Affonso Lenhardt	Pública Municipal  	-	Rua Venâncio Aires	375	 Anexo Secretaria Municipal de Educação	Centro	89868-000	Saudades	SC	-53.001906	-26.925809	Rua Venâncio Aires	375	Anexo Secretaria Municipal de Educação	    	Centro	89868-000	Saudades	SC	(49) 3334-0256	educa@saudades.sc.gov.br; cultura@saudades.sc.gov.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	6	NULL	NULL	NULL	-	1991	Aberto	Mediante agendamento	Mediante agendamento	Mediante agendamento	Não abre	Mediante agendamento	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9.42.30.9534	Museu Cacarecos	Privada  	-	Praça da Igreja	s/n	    	Centro	62297-000	Catunda	CE	-40.200353	-4.643743	Praça da Igreja	s/n	    	    	Centro	62297-000	Catunda	CE	(88) 3686-1023	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	6	7	NULL	11	-	2005	Aberto	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	S	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
